player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
29,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
46,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,22.0,0.0,0.0,,,,,,,0.0,18.0,9.0,90.0,0.0,2.0,,,,,3.0,0.0,4.0,0.0,0.0,,0.0,4.0,2.0,4.0,67.0,0.0,,1.0,0.0,,,,,,,,2.0,,,,,,,,,68,90,0,0.0,0,28.2000007629395,3524.0,777.0,799.0,41.0,2.0,
37,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,90.0,0.0,0.0,,,,,,,0.0,50.0,37.0,92.0,0.0,4.0,,,3.0,50.0,0.0,0.0,1.0,0.0,8.0,,0.0,1.0,3.0,0.0,0.0,1.0,50.0,,2.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,28.1000003814697,10712.0,2775.0,1879.0,69.0,4.0,
41,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,68.0,1.0,0.0,5.0,0.95,0.01,2.0,,,3.0,28.0,11.0,69.0,0.0,,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,4.0,2.0,3.0,75.0,1.0,50.0,3.0,1.0,,,,,,,,1.0,,,,,,,0.4,,0,68,2,0.0,0,31.0,9626.0,1844.0,2661.0,183.0,8.0,
166,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,81.0,1.0,0.0,3.0,1.17,0.15,2.0,,,4.0,39.0,18.0,82.0,3.0,2.0,,,2.0,100.0,0.0,1.0,4.0,0.0,0.0,,1.0,3.0,8.0,3.0,33.0,0.0,0.0,1.0,0.0,,,,,,,,3.0,,,,,,,1.29,,0,81,2,0.0,0,33.7999992370605,9688.0,2484.0,2013.0,381.0,17.0,
52,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,22.0,0.0,0.0,2.0,0.1,,0.0,,,2.0,18.0,5.0,71.0,0.0,,,,,,2.0,1.0,2.0,0.0,0.0,,0.0,3.0,3.0,3.0,60.0,0.0,0.0,1.0,0.0,,,,,,,,2.0,,,,,,,,,68,90,0,0.0,0,30.0,3460.0,753.0,795.0,121.0,6.0,
45,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,90.0,1.0,0.0,3.0,0.16,0.39,2.0,,,3.0,52.0,20.0,80.0,4.0,3.0,1.0,14.0,2.0,67.0,4.0,0.0,4.0,0.0,0.0,,2.0,7.0,7.0,7.0,50.0,0.0,,2.0,3.0,,,,,,,,2.0,,,,,,,0.74,,0,90,2,0.0,0,30.7999992370605,11078.0,2914.0,2183.0,192.0,10.0,
56,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,9.0,0.0,0.0,,,,,,,0.0,4.0,2.0,67.0,0.0,1.0,,,,,0.0,0.0,1.0,0.0,0.0,,2.0,,6.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,0.0,,,,,,,,,81,90,0,0.0,0,25.2000007629395,1962.0,388.0,517.0,10.0,1.0,
33,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
596,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
160,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
631,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
34,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,90.0,0.0,2.0,,,0.49,,,,0.0,52.0,34.0,83.0,4.0,8.0,,,5.0,62.0,1.0,0.0,4.0,1.0,8.0,4.0,0.0,1.0,2.0,1.0,100.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,29.8999996185303,10914.0,2774.0,2010.0,119.0,6.0,
47,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,68.0,0.0,0.0,1.0,0.01,0.01,1.0,,,1.0,51.0,34.0,94.0,0.0,3.0,,,1.0,100.0,2.0,1.0,4.0,1.0,5.0,4.0,0.0,7.0,3.0,5.0,71.0,2.0,67.0,2.0,1.0,,,,,,,,1.0,,,,,,,0.04,,0,68,2,0.0,0,29.6000003814697,9254.0,1885.0,2270.0,133.0,6.0,
36,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,90.0,0.0,0.0,1.0,0.02,0.01,0.0,,,1.0,45.0,18.0,72.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,,1.0,1.0,2.0,1.0,50.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,32.0,11502.0,2771.0,2085.0,234.0,12.0,
597,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,90.0,,,,,,,,,,50.0,,,1.0,8.0,,,,,0.0,0.0,10.0,,0.0,,,,,,,,,,0.0,5.0,2.0,2.59,0.59,2.0,25.0,5.0,,3.0,,3.0,,,,,,0,90,2,0.0,0,24.3999996185303,5191.0,3784.0,94.0,7.0,,
54,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,90.0,0.0,1.0,1.0,0.18,0.59,0.0,,,4.0,45.0,25.0,89.0,2.0,4.0,,,1.0,50.0,5.0,1.0,2.0,0.0,5.0,1.0,2.0,8.0,7.0,8.0,62.0,0.0,0.0,1.0,3.0,,,,,,,,0.0,,,,,,,,,0,90,2,0.0,0,30.0,12201.0,2566.0,2752.0,259.0,13.0,
35,26-27-champions-league-club-brugge-vs-aston-villa-2026-09-08,22.0,0.0,0.0,1.0,0.05,,1.0,,,1.0,13.0,8.0,89.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,100.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,68,90,0,0.0,0,28.0,3288.0,832.0,726.0,39.0,2.0,
406,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,15.0,0.0,0.0,,,0.03,,,,0.0,15.0,13.0,100.0,0.0,3.0,,,,,1.0,0.0,2.0,0.0,1.0,,0.0,1.0,,1.0,100.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,75,93,0,0.0,0,30.6000003814697,2326.0,575.0,647.0,96.0,3.0,
587,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
386,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
395,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
396,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
621,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
390,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,90.0,0.0,0.0,,,0.1,,,,0.0,96.0,83.0,94.0,1.0,11.0,,,1.0,20.0,1.0,1.0,6.0,0.0,3.0,2.0,0.0,2.0,5.0,1.0,25.0,1.0,33.0,,2.0,,,,,,,,1.0,,,,,,,,,0,93,0,0.0,0,30.7000007629395,10367.0,2850.0,2007.0,114.0,6.0,
384,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,90.0,,,,,,,,,,42.0,,,,1.0,,,,,0.0,0.0,4.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,,0.0,33.0,11.0,,0.0,,0.0,,,,,,0,93,0,0.0,0,23.7000007629395,5295.0,3838.0,98.0,4.0,,
411,26-27-champions-league-fc-porto-vs-manchester-city-2026-09-08,90.0,2.0,0.0,6.0,1.33,0.05,4.0,,,7.0,26.0,8.0,57.0,1.0,4.0,,,1.0,100.0,0.0,0.0,1.0,0.0,0.0,,0.0,3.0,7.0,1.0,17.0,2.0,50.0,1.0,4.0,,,,,,,,0.0,,,,,,,2.51,,0,93,0,0.0,0,35.0999984741211,9790.0,3813.0,1748.0,401.0,18.0,
