player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
406,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,79.0,0.0,0.0,1.0,0.02,0.06,0.0,,,0.0,68.0,55.0,89.0,0.0,15.0,,,4.0,67.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,50.0,0.0,0.0,,0.0,,,,,,,,1.0,,,,,,,,,0,79,3,0.0,0,,,,,,,
587,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0,,,,,,,
238,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,45.0,0.0,0.0,,,0.09,,,,2.0,33.0,21.0,88.0,2.0,3.0,1.0,50.0,,,0.0,0.0,2.0,0.0,0.0,,1.0,2.0,4.0,2.0,33.0,0.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,46,90,1,0.0,0,,,,,,,
2,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
15,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,84.0,1.0,0.0,2.0,0.85,0.09,2.0,,,3.0,74.0,55.0,95.0,1.0,5.0,1.0,50.0,,,1.0,1.0,9.0,0.0,0.0,,1.0,5.0,2.0,5.0,71.0,0.0,,1.0,1.0,,,,,,,,0.0,,,,,,,0.98,,0,84,0,0.0,0,,,,,,,
1,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,90.0,,,,,,,,,,49.0,,,,5.0,,,,,0.0,0.0,8.0,,0.0,,,1.0,,,,1.0,100.0,,0.0,4.0,0.0,0.34,0.34,1.0,23.0,5.0,,1.0,,2.0,,,,,,0,90,0,0.0,0,,,,,,,
17,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,,,,,,
390,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,90.0,0.0,0.0,,,0.02,,,,1.0,83.0,70.0,96.0,1.0,6.0,,,0.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,6.0,4.0,2.0,67.0,4.0,57.0,,1.0,,,,,,,,0.0,,,,,,,,,0,90,3,0.0,0,,,,,,,
384,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,90.0,,,,,,,,,,44.0,,,,4.0,,,,,0.0,0.0,9.0,,2.0,,,,,,,,,,0.0,2.0,3.0,2.53,-0.47,2.0,24.0,8.0,,1.0,,0.0,,,,,,0,90,3,0.0,0,,,,,,,
13,26-27-community-shield-arsenal-vs-manchester-city-2026-08-16,45.0,0.0,0.0,,,,,,,0.0,36.0,29.0,94.0,0.0,1.0,,,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,46,90,0,0.0,0,,,,,,,
