player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
46,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,1.0,1.0,3.0,0.26,0.71,2.0,,,4.0,84.0,67.0,93.0,2.0,6.0,,,4.0,100.0,2.0,0.0,2.0,1.0,0.0,,0.0,3.0,4.0,3.0,50.0,0.0,0.0,,2.0,,,,,,,,1.0,,,,,,,0.89,,0,90,1,0.0,0,,,,,,,
178,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,17.0,0.0,0.0,,,,,,,0.0,12.0,4.0,100.0,0.0,,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,,,,1.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,73,90,0,0.0,0,,,,,,,
12,26-27-efl-cup-ipswich-town-vs-arsenal-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
623,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,90.0,,,,,,,,,,36.0,,,,3.0,,,,,0.0,0.0,8.0,,2.0,,,,,,,,,,0.0,6.0,3.0,3.32,0.32,0.0,14.0,3.0,,0.0,,4.0,,,,,,0,90,3,0.0,0,,,,,,,
29,26-27-efl-cup-coventry-city-vs-aston-villa-2026-09-08,45.0,,,,,,,,,,24.0,,,,1.0,,,,,0.0,0.0,5.0,,1.0,,,,,,,,,,0.0,2.0,1.0,0.59,-0.41,1.0,12.0,5.0,,0.0,,2.0,,,,,,0,46,1,0.0,0,,,,,,,
591,26-27-efl-cup-ipswich-town-vs-arsenal-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0,,,,,,,
8,26-27-efl-cup-ipswich-town-vs-arsenal-2026-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
348,26-27-efl-cup-west-ham-united-vs-fulham-2026-09-08,7.0,0.0,0.0,,,,,,,0.0,1.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,0.0,,,,,,,,,83,90,0,0.0,0,,,,,,,
255,26-27-efl-cup-west-ham-united-vs-fulham-2026-09-08,90.0,0.0,0.0,,,0.02,,,,0.0,76.0,65.0,98.0,1.0,9.0,,,3.0,75.0,2.0,1.0,2.0,1.0,1.0,,1.0,3.0,3.0,3.0,60.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,,,,,,,,,0,90,2,0.0,0,,,,,,,
262,26-27-efl-cup-west-ham-united-vs-fulham-2026-09-08,69.0,0.0,0.0,1.0,0.02,0.02,0.0,,,4.0,36.0,21.0,91.0,0.0,1.0,,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,3.0,2.0,40.0,0.0,,,2.0,,,,,,,,1.0,,,,,,,,,0,69,2,0.0,0,,,,,,,
