id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,6.0,64,1,41.5,4,1,5.8,9,1,0,0,0,0,0,13058,1202,1.0,4.8,5.8,5.8,7.2,11,1,,,73,12,374,4,648,72,198,13,,,,,,,,0.0,0.0,0.0,0.68,1.75,0.75,0.25,1.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15904.0,2098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.9,348,16,0.1,465,53,0.0,554,67,0,0,0,-1,1,8,7,0.0,0.0,0.0,0.0,0.0,554,67,,,537,67,537,55,496,53,542,67,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Illan,Meslier,Meslier,a,,,4.9,375,18,0.0,542,61,0.0,563,68,0,0,0,-1,1,3,8,0.0,0.0,0.0,0.0,0.0,563,68,,,550,68,549,57,512,55,555,68,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,Djiamgone Jocelin Ta,Bi,Jocelin.T,a,,,5.0,342,205,0.0,629,271,0.0,620,265,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,0.0,620,265,,,611,261,617,266,596,253,616,263,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,Nilson,Angulo,N.Angulo,a,,,5.0,321,192,0.1,391,144,2.4,120,51,0,0,0,0,0,23,53,0.5,2.4,2.4,2.4,3.0,145,60,,,155,56,169,98,116,61,153,74,,1.0,,,,,,0.05,0.04,0.09,1.35,0.0,0.35,1.06,1.42,7.09,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gabriel,dos Santos Magalhães,Gabriel,a,,,8.0,8,1,23.1,13,4,4.8,32,12,0,0,0,0,0,1024,5705,0.6,3.0,4.8,4.8,6.0,37,16,,,101,45,252,87,33,3,89,24,,,,,,,,0.13,0.02,0.15,0.68,0.0,0.75,0.25,1.0,8.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,7167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Jurriën,Timber,J.Timber,a,,,6.5,39,3,0.3,297,107,0.2,406,143,0,0,0,0,0,685,121,0.0,0.2,0.2,0.2,1.0,388,133,100.0,100.0,329,127,316,115,657,216,362,131,,,,,,,,0.0,0.02,0.02,3.14,0.0,0.0,0.0,0.0,6.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Juan,Angulo,J.Angulo,a,,,4.5,546,78,0.7,213,34,0.0,546,62,0,0,0,0,0,886,291,0.0,0.0,0.0,0.0,0.0,546,62,,,528,56,527,61,486,55,533,59,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,William,Saliba,Saliba,i,Back injury - Unknown return date,,5.9,88,8,0.2,328,121,0.0,648,216,0,0,0,-1,1,12,69,0.0,0.0,0.0,0.0,0.0,648,216,0.0,0.0,646,216,649,216,643,215,648,216,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.5,157,98,0.6,234,76,1.8,169,76,0,0,0,0,0,60,225,0.3,1.6,1.8,1.8,2.2,198,86,,,252,105,129,81,175,90,221,101,,,,,,,,0.05,0.08,0.13,0.34,0.0,0.66,0.33,1.33,4.65,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,Brian,Brobbey,Brobbey,a,,,5.7,114,29,5.4,74,10,1.4,218,21,0,-1,1,-3,3,590,2764,0.2,1.2,1.4,1.4,1.8,248,29,,,342,34,84,7,61,15,150,19,,,,,,,,0.17,0.02,0.19,1.56,0.0,0.29,1.17,1.17,3.2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,5078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Riccardo,Calafiori,Calafiori,a,,,5.8,106,11,50.7,3,1,5.6,17,5,0,0,0,3,-3,4969,1598,1.0,4.8,5.6,5.6,7.0,18,7,,,121,58,160,48,86,18,121,43,,,,,,,,0.17,0.16,0.33,0.68,0.0,0.83,0.28,1.1,3.59,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7228.0,2691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Piero,Hincapié,Hincapie,a,,,5.3,227,31,0.9,192,71,0.4,348,125,0,0,0,-2,2,72,237,0.1,0.4,0.4,0.4,1.0,350,131,,,327,126,336,124,308,117,348,127,,,,,,,,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,8.44,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Benjamin,White,White,a,,,5.5,131,15,5.5,71,29,4.2,46,21,0,0,0,0,0,502,4424,0.8,3.8,4.2,4.2,5.2,48,21,100.0,100.0,98,44,83,20,125,35,97,30,,,,,,,,0.05,0.08,0.13,0.33,0.0,0.57,0.29,1.14,5.14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,7721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Cristhian,Mosquera,Mosquera,a,,,5.3,232,33,1.7,139,56,2.4,122,47,0,0,0,-2,2,67,669,0.5,2.3,2.4,2.4,6.0,33,15,100.0,100.0,241,99,313,113,602,211,304,113,,,,,,,,0.0,0.01,0.01,0.28,0.0,1.07,0.0,1.07,5.36,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bukayo,Saka,Saka,a,,,9.5,4,3,13.1,32,12,6.0,8,3,0,0,0,0,0,8005,1412,0.6,3.2,6.0,6.0,7.5,10,4,,,8,6,43,36,1,1,2,2,2.0,2.0,1.0,,,,,0.77,0.12,0.89,0.69,0.0,0.8,0.27,1.07,7.77,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11394.0,2139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Declan,Rice,Rice,a,,,7.4,18,11,12.4,34,14,3.8,56,23,0,0,0,-1,1,674,1398,0.5,2.6,3.8,3.8,4.8,60,25,,,29,13,33,29,293,143,48,35,1.0,1.0,,,,,,0.03,0.18,0.21,0.61,0.0,0.84,0.28,1.12,9.53,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,2172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Eberechi,Eze,Eze,a,,,6.3,49,33,1.0,173,56,0.6,317,148,0,0,0,-2,2,115,291,0.1,0.5,0.6,0.6,1.0,385,183,,,369,170,289,149,275,139,357,165,,3.0,,,,,,0.05,0.09,0.14,1.05,0.0,0.0,0.0,0.0,6.62,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Martin,Ødegaard,Ødegaard,a,,,6.8,31,20,20.1,18,8,5.4,21,12,0,0,0,3,-3,6183,2424,0.8,4.0,5.4,5.4,6.8,21,10,,,16,11,4,4,52,33,10,8,,4.0,3.0,,,,,0.3,0.38,0.68,0.73,0.0,0.89,0.3,1.18,6.2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9404.0,4078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
