id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
3,a,,,5.0,302,16,0,0,0,0,0.0,528,57,0,0,0.0,513,67,0,0,0.0,513,67,0.0,0.0,0,122,21,551,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481,67,0.0,491,60,0.0,444,60,0.0,497,67,,,,2,,Illan,Meslier,Meslier,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
9,a,,,5.4,219,32,0,0,-1,1,1.5,162,65,1,0,1.0,270,99,0,3,0.5,284,101,0.1,0.2,0,5056,1146,44689,3643,0.5,0.5,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.5,0.4,273,102,0.5,252,91,0.0,515,192,0.1,290,102,,,,2,,Piero,Hincapié,Hincapie,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
10,a,100.0,100.0,5.5,134,15,0,0,0,0,6.9,59,24,11,0,11.0,7,3,2,37,5.5,29,13,1.0,2.0,0,163284,18343,38264,13209,5.5,5.5,0.18,0.21,0.39,0.2,0.18,0.21,0.39,0.2,33.2,42,15,26.8,38,11,13.0,76,21,7.3,41,11,,,,2,,Benjamin,White,White,,,90,0,1,1,0,0,0,0,0,0,0,1,5,,,,0.0,1.0,0.0,1.0,5.0,1,4,3
11,a,,,5.5,193,27,0,0,0,0,5.6,65,26,6,0,6.0,54,25,0,27,3.0,83,34,0.5,1.1,0,17582,2172,56846,10897,3.0,3.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,14.4,119,55,0.6,246,89,0.0,569,201,1.5,210,82,,,,2,,Cristhian,Mosquera,Mosquera,,,90,0,0,1,0,0,0,0,0,0,0,1,6,,,,0.0,1.0,0.0,1.0,6.0,0,6,3
12,a,,,9.5,4,3,0,0,0,0,10.3,38,15,9,0,9.0,22,10,1,36,4.5,53,24,0.5,0.9,0,96345,7432,47076,11846,4.5,4.5,0.64,0.08,0.72,0.06,0.86,0.11,0.97,0.08,42.8,21,11,26.1,43,29,33.0,25,12,10.2,12,9,2.0,2.0,1.0,2,,Bukayo,Saka,Saka,,,67,1,0,1,0,0,0,0,0,0,0,1,7,,,,0.0,1.34,0.0,1.34,9.4,1,2,4
13,a,,,7.5,15,9,0,0,0,0,16.5,23,8,3,0,3.0,110,50,0,10,1.5,160,74,0.2,0.4,0,39619,4132,189337,31615,1.5,1.5,0.07,0.08,0.15,0.06,0.09,0.11,0.2,0.08,6.8,193,77,6.4,136,80,2.0,187,95,1.5,213,96,1.0,1.0,,2,,Declan,Rice,Rice,,,67,0,0,1,0,0,0,0,0,0,0,1,6,,,,0.0,1.34,0.0,1.34,8.06,0,3,3
14,a,,,6.4,53,37,-1,1,-1,1,1.7,143,42,1,0,1.0,309,151,0,4,0.5,317,154,0.1,0.2,0,7370,1654,49672,5180,0.5,0.5,0.04,0.0,0.04,0.15,0.26,0.0,0.26,0.96,0.0,607,265,1.8,192,112,1.0,193,99,0.1,294,140,,3.0,,2,,Eberechi,Eze,Eze,,,14,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,12.86,0,0,2
15,a,,,6.6,31,20,0,0,1,-1,11.9,34,12,11,0,11.0,8,5,3,41,5.5,31,15,0.8,1.7,0,311640,22081,48483,11623,5.5,5.5,0.21,0.1,0.31,0.06,0.25,0.12,0.37,0.07,50.6,6,4,41.5,13,11,31.0,27,13,12.3,6,5,4.0,,3.0,2,,Martin,Ødegaard,Ødegaard,,,75,1,0,1,0,0,0,0,0,0,0,1,8,,,,0.0,1.2,0.0,1.2,9.6,3,1,4
16,a,,,6.4,54,38,0,0,-1,1,0.3,295,99,1,0,1.0,310,152,0,8,0.5,318,155,0.1,0.2,0,1777,365,9120,889,0.5,0.5,0.0,0.04,0.04,0.15,0.0,0.16,0.16,0.61,9.4,171,67,43.1,11,9,0.0,606,263,5.3,70,37,6.0,,,2,,Noni,Madueke,Madueke,,,22,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,8.18,0,0,2
17,a,,,5.9,105,66,-1,1,-1,1,0.6,243,82,1,0,1.0,296,142,0,5,0.5,306,146,0.1,0.2,0,3156,734,17569,2312,0.5,0.5,0.14,0.02,0.16,0.15,0.9,0.13,1.03,0.96,3.6,233,103,1.2,216,121,14.0,73,40,1.9,186,83,,,,2,,Mikel,Merino Zazón,Merino,,,14,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,12.86,0,0,2
18,a,,,6.4,55,39,0,0,-1,1,0.2,345,126,0,0,0.0,608,267,0,0,0.0,608,267,0.0,0.0,0,1623,305,7797,761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608,266,0.0,610,267,0.0,607,264,0.0,610,267,,,,2,,Gabriel,Martinelli Silva,Martinelli,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
19,a,,,5.4,222,137,-1,1,-1,1,0.9,199,65,1,0,1.0,271,127,0,3,0.5,285,136,0.1,0.2,0,2356,777,23213,2621,0.5,0.5,0.0,0.02,0.02,0.15,0.0,0.08,0.08,0.61,3.8,228,100,2.3,178,104,0.0,518,208,0.6,253,114,,,,2,,Martín,Zubimendi Ibáñez,Zubimendi,,,22,0,0,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,12.27,1,0,2
20,a,,,5.4,225,140,0,0,-1,1,0.1,438,175,0,0,0.0,563,238,0,0,0.0,563,238,0.0,0.0,0,661,188,2657,327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539,225,0.0,552,234,0.0,521,211,0.0,555,232,,,,2,,Max,Dowman,Dowman,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
22,a,,,5.4,224,139,-1,1,-1,1,0.0,579,245,0,0,0.0,562,237,0,0,0.0,562,237,0.0,0.0,0,113,37,379,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538,224,0.0,551,233,0.0,520,210,0.0,554,231,,,,2,,Ethan,Nwaneri,Nwaneri,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
23,a,,,5.5,165,102,0,0,0,0,0.0,590,251,0,0,0.0,582,248,0,0,0.0,582,248,0.0,0.0,0,120,40,249,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559,236,0.0,572,244,0.0,552,230,0.0,573,242,,,,2,,Fábio,Ferreira Vieira,Fábio Vieira,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
24,u,0.0,,5.5,136,84,0,0,0,0,0.0,594,253,0,0,0.0,572,241,0,0,0.0,572,241,0.0,0.0,0,68,4,254,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548,228,0.0,563,237,0.0,537,219,0.0,564,235,,,,2,,Reiss,Nelson,Nelson,has departed the club as a free agent.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
25,a,,,7.4,21,8,0,0,-1,1,6.4,62,10,0,0,0.0,615,70,0,0,0.0,615,70,0.0,0.0,0,10471,1695,257301,19172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618,71,0.0,619,71,0.0,619,71,0.0,619,71,,,2.0,2,,Viktor,Gyökeres,Gyökeres,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
26,a,,,7.5,16,6,0,0,0,0,7.5,54,7,6,0,6.0,62,6,0,34,3.0,91,10,0.4,0.8,0,201049,13441,52254,13429,3.0,3.0,0.26,0.03,0.29,0.2,0.26,0.03,0.29,0.2,37.2,35,5,13.2,98,9,25.0,38,10,7.5,38,7,,,,2,,Kai,Havertz,Havertz,,,90,1,0,1,0,0,0,0,0,0,0,1,2,,,,0.0,1.0,0.0,1.0,2.0,0,2,0
27,a,,,6.0,67,16,0,0,0,0,0.3,291,50,0,0,0.0,600,67,0,0,0.0,600,67,0.0,0.0,0,2741,827,8274,1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594,62,0.0,599,65,0.0,589,64,0.0,599,65,,,,2,,Gabriel,Fernando de Jesus,G.Jesus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
31,a,,,4.5,438,99,0,0,0,0,10.6,36,12,0,0,0.0,400,148,0,0,0.0,400,148,0.0,0.0,0,67480,17659,256668,27081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,145,0.0,359,149,0.0,288,124,0.0,372,146,,,,2,,Ezri,Konsa Ngoyo,Konsa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
452,d,75.0,75.0,6.9,29,18,0,0,-1,1,2.5,117,37,0,0,0.0,614,271,0,0,0.0,614,271,0.0,0.0,0,1086,236,140464,13909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,271,0.0,617,272,0.0,616,271,0.0,617,272,5.0,,4.0,2,,Bruno,Guimarães Rodriguez Moura,Bruno G.,Thigh injury - 75% chance of playing,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
557,a,,,6.5,39,26,0,0,0,0,26.0,11,5,6,0,6.0,60,23,0,30,3.0,90,39,0.5,0.9,0,269026,32339,76421,20721,3.0,3.0,0.19,0.14,0.33,0.06,0.23,0.17,0.4,0.07,17.0,102,35,39.8,16,14,30.0,29,15,8.7,24,15,3.0,,,2,,Christos,Tzolis,Tzolis,,,75,0,1,1,0,0,0,0,0,0,0,1,6,,,,0.0,1.2,0.0,1.2,7.2,1,2,3
28,a,,,5.0,233,7,0,0,0,0,4.1,84,11,0,0,0.0,477,62,0,0,0.0,477,62,0.0,0.0,0,25743,11233,64428,7629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,62,0.0,446,51,0.0,387,51,0.0,455,62,,,,2,,Emiliano,Martínez Romero,Martinez,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
6,i,0.0,0.0,6.0,85,9,0,0,0,0,0.3,313,117,0,0,0.0,603,204,0,0,0.0,603,204,0.0,0.0,0,1170,324,8108,1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599,206,0.0,602,206,0.0,595,206,0.0,602,206,,,,2,,William,Saliba,Saliba,Back injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
29,a,,,4.5,407,23,0,0,0,0,0.1,384,43,1,0,1.0,206,17,0,1,0.5,225,18,0.1,0.2,0,1228,383,1100,219,0.5,0.5,0.0,0.0,0.0,3.77,0.0,0.0,0.0,3.77,28.2,56,8,0.0,340,23,0.0,265,23,2.8,138,8,,,,2,,Marco,Bizot,M.Bizot,,,90,0,0,0,4,0,0,0,0,0,3,1,0,,,,3.0,0.0,4.0,1.0,0.0,0,2,6
30,u,0.0,0.0,4.5,412,84,0,0,0,0,0.1,439,154,0,0,0.0,385,143,0,0,0.0,385,143,0.0,0.0,0,0,0,5495,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,140,0.0,343,143,0.0,269,116,0.0,357,141,,,,2,,Lucas,Digne,Digne,Has joined Paris Saint-Germain permanently,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
32,a,,,4.5,437,98,0,0,0,0,7.5,55,22,-1,0,-1.0,621,206,0,-8,-0.5,621,206,-0.1,-0.2,0,30425,3447,116958,10631,-0.5,-0.5,0.0,0.0,0.0,3.77,0.0,0.0,0.0,3.77,12.0,143,67,1.1,218,72,0.0,287,123,1.3,222,85,1.0,,,2,,Matty,Cash,Cash,,,90,0,0,0,4,0,0,0,1,0,0,1,7,,,,0.0,0.0,4.0,1.0,7.0,2,5,0
33,a,,,4.5,424,88,0,0,0,0,0.4,279,107,1,0,1.0,209,72,0,5,0.5,228,77,0.1,0.2,0,3734,481,3986,479,0.5,0.5,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.24,2.0,251,98,0.0,352,145,0.0,279,118,0.2,280,99,,,,2,,Tyrone,Mings,Mings,,,16,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,5.62,1,0,0
34,a,,,4.5,465,119,0,0,0,0,0.4,273,103,0,0,0.0,414,157,0,-14,0.0,414,157,0.0,0.0,0,2127,296,5619,559,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,4.38,0.0,371,156,0.7,234,81,0.0,308,137,0.0,388,157,,,,2,,Pau,Torres,Pau,,,73,0,0,0,4,0,0,0,0,0,0,1,5,,,,0.0,0.0,4.93,1.23,6.16,0,5,1
35,a,,,5.0,358,210,0,0,0,0,0.1,462,186,1,0,1.0,258,116,0,3,0.5,272,126,0.1,0.2,0,769,133,1157,172,0.5,0.5,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.24,2.2,247,112,0.5,251,134,0.0,485,184,0.3,277,130,,,,2,,Lamare,Bogarde,Bogarde,,,16,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,5.62,0,1,0
36,a,,,4.5,471,124,0,0,0,0,0.7,223,81,0,0,0.0,418,160,0,-9,0.0,418,160,0.0,0.0,0,3070,524,9902,1044,0.0,0.0,0.03,0.0,0.03,3.62,0.03,0.0,0.03,4.02,9.2,172,74,0.8,228,78,3.0,148,49,1.3,223,86,,,,2,,Ian,Maatsen,Maatsen,,,81,0,0,0,4,0,0,0,0,0,0,1,9,,,,0.0,0.0,4.44,1.11,10.0,2,7,2
37,a,,,4.5,434,95,0,0,0,0,0.3,308,114,-2,0,-2.0,622,207,0,-13,-1.0,622,207,-0.2,-0.4,0,2044,269,4432,421,-1.0,-1.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,3.77,1.8,255,99,0.1,273,101,0.0,285,121,0.2,281,100,,,,2,,Victor,Lindelöf,Lindelöf,,,90,0,0,0,4,1,0,0,0,0,0,1,3,,,,0.0,0.0,4.0,1.0,3.0,0,3,1
38,a,,,4.0,617,201,0,0,0,0,1.7,145,59,0,0,0.0,376,136,0,0,0.0,376,136,0.0,0.0,0,9391,2052,16044,2121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,133,0.0,332,136,0.0,255,106,0.0,348,134,,,,2,,Andrés,García,A.García,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
39,u,0.0,0.0,4.0,614,199,0,0,0,0,0.2,333,125,0,0,0.0,374,135,0,0,0.0,374,135,0.0,0.0,0,0,0,8090,852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,132,0.0,329,134,0.0,252,104,0.0,346,133,,,,2,,Kosta,Nedeljkovic,Nedeljkovic,Has joined Rangers on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
41,a,,,6.0,64,43,0,0,0,0,1.2,181,55,2,0,2.0,161,83,0,4,1.0,209,102,0.2,0.3,0,6656,1636,25216,3330,1.0,1.0,0.13,0.09,0.22,3.62,0.14,0.1,0.24,3.83,0.0,593,258,16.3,73,45,8.0,99,50,2.2,167,76,3.0,1.0,1.0,2,,Emiliano,Buendía Stati,Buendía,,,85,0,0,0,4,0,0,0,0,0,0,1,7,,,,0.0,0.0,4.24,1.06,7.41,1,3,3
44,a,,,5.5,145,89,0,0,0,0,0.1,382,147,0,0,0.0,576,244,0,0,0.0,576,244,0.0,0.0,0,1250,248,3120,463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553,231,0.0,568,240,0.0,544,223,0.0,568,238,,,,2,,Leon,Bailey,Bailey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
